iter	Passed	Remaining
735	1481	531
736	1483	529
737	1484	526
738	1484	524
739	1486	522
740	1489	520
741	1491	518
742	1494	516
743	1496	514
744	1498	513
745	1501	511
746	1503	509
747	1504	506
748	1504	504
749	1506	502
750	1508	500
751	1510	498
752	1513	496
753	1515	494
754	1518	492
755	1520	490
756	1522	488
757	1523	486
758	1523	483
759	1525	481
760	1527	479
761	1530	478
762	1532	476
763	1534	474
764	1537	472
765	1539	470
766	1541	468
767	1543	466
768	1543	463
769	1545	461
770	1547	459
771	1550	457
772	1552	455
773	1554	454
774	1557	452
775	1560	450
776	1562	448
777	1562	445
778	1563	443
779	1565	441
780	1567	439
781	1569	437
782	1571	435
783	1574	433
784	1576	431
785	1579	430
786	1582	428
787	1582	425
788	1582	423
789	1584	421
790	1587	419
791	1590	417
792	1592	415
793	1595	413
794	1598	412
795	1600	410
796	1601	407
797	1601	405
798	1603	403
799	1606	401
800	1608	399
801	1611	397
802	1613	395
803	1615	393
804	1618	392
805	1621	390
806	1621	387
807	1622	385
808	1624	383
809	1626	381
810	1629	379
811	1631	377
812	1634	375
813	1637	374
814	1639	372
815	1640	369
816	1641	367
817	1642	365
818	1645	363
819	1647	361
820	1649	359
821	1652	357
822	1654	355
823	1657	353
824	1659	352
825	1660	349
826	1661	347
827	1662	345
828	1664	343
829	1666	341
830	1669	339
831	1672	337
832	1674	335
833	1676	333
834	1678	331
835	1681	329
836	1681	327
837	1681	325
838	1684	323
839	1686	321
840	1689	319
841	1691	317
842	1694	315
843	1696	313
844	1698	311
845	1700	309
846	1700	307
847	1701	305
848	1704	303
849	1709	301
850	1712	299
851	1715	297
852	1717	296
853	1720	294
854	1724	292
855	1726	290
856	1728	288
857	1730	286
858	1734	284
859	1738	282
860	1738	280
861	1738	278
862	1740	276
863	1742	274
864	1745	272
865	1747	270
866	1751	268
867	1755	266
868	1757	265
869	1758	262
870	1759	260
871	1761	258
872	1763	256
873	1766	254
874	1769	252
875	1771	250
876	1774	248
877	1776	246
878	1776	244
879	1777	242
880	1779	240
881	1781	238
882	1783	236
883	1786	234
884	1788	232
885	1791	230
886	1793	228
887	1796	226
888	1797	224
889	1797	222
890	1799	220
891	1802	218
892	1806	216
893	1809	214
894	1811	212
895	1814	210
896	1816	208
897	1817	206
898	1820	204
899	1823	202
900	1825	200
901	1828	198
902	1831	196
903	1833	194
904	1836	192
905	1836	190
906	1836	188
907	1839	186
908	1841	184
909	1844	182
910	1846	180
911	1849	178
912	1852	176
913	1854	174
914	1856	172
915	1857	170
916	1857	168
917	1860	166
918	1865	164
919	1869	162
920	1871	160
921	1874	158
922	1876	156
923	1876	154
924	1877	152
925	1879	150
926	1881	148
927	1884	146
928	1888	144
929	1890	142
930	1893	140
931	1895	138
932	1896	136
933	1896	134
934	1898	131
935	1900	129
936	1902	127
937	1904	125
938	1907	123
939	1909	121
940	1911	119
941	1913	117
942	1916	115
943	1916	113
944	1916	111
945	1916	109
946	1919	107
947	1921	105
948	1924	103
949	1926	101
950	1928	99
951	1931	97
952	1933	95
953	1935	93
954	1936	91
955	1936	89
956	1938	87
957	1940	85
958	1943	83
959	1945	81
960	1947	79
961	1950	77
962	1953	75
963	1955	73
964	1955	70
965	1956	68
966	1958	66
967	1960	64
968	1963	62
969	1965	60
970	1967	58
971	1969	56
972	1972	54
973	1975	52
974	1975	50
975	1975	48
976	1977	46
977	1980	44
978	1982	42
979	1985	40
980	1987	38
981	1989	36
982	1991	34
983	1994	32
984	1996	30
985	1996	28
986	1996	26
987	1997	24
988	2000	22
989	2002	20
990	2004	18
991	2008	16
992	2010	14
993	2013	12
994	2015	10
995	2015	8
996	2016	6
997	2018	4
998	2021	2
999	2023	0
